1,1,89
1,3,89
1,6,89
1,8,89
1,12,89
1,15,89
1,17,89
1,20,89
2,2,80
2,10,80
2,14,80
2,19,80
3,2,60
3,4,60
3,6,60
3,9,60
3,11,60
3,13,60
3,15,60
3,17,60
4,1,50
4,5,50
4,10,50
4,18,50
5,3,85
5,5,85
5,6,85
5,9,85
5,10,85
5,12,85
5,15,85
5,17,85
6,12,65
6,13,65
6,15,65
6,16,65
6,19,65
6,20,65
7,2,70
7,3,70
7,5,70
7,8,70
7,11,80
7,17,80
8,1,69
8,4,69
8,7,69
8,9,69
8,11,69
8,15,69
9,1,88
9,3,88
9,4,88
9,5,88
9,6,88
9,7,88
9,10,88
9,12,88
9,13,88
9,14,88
9,16,88
9,17,88
9,19,88
9,20,88
10,2,76
10,4,76
10,6,76
10,8,76
10,9,76
10,12,76
10,15,76
10,18,76
